id	title	author	gender	year-birth	year-death	year-worldcat	year-ref	language	translation	downloads	subjects	shortauthor	shorttitle	worldcaturl	Western	Adventure	Love	War	Humour	Sea	Pulp fiction	SciFi & Fantasy	General fiction	Mystery & Detective stories	Juvenile	Translations
PG64415	Mind Worms	Schere, Moses		1913.0	1996.0		1964	['en']		11	{'Ambassadors -- Fiction', 'Psychological fiction', 'Short stories', 'Science fiction', 'Storytelling -- Fiction', 'Human-alien encounters -- Fiction'}	Moses+Schere	Mind+Worms	https://www.worldcat.org/search?q=Moses+Schere+Mind+Worms&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	1	0	0	0
PG50834	The Awakening	Sharkey, Jack		1931.0	1992.0	1964.0	1964	['en']		18	{'Short stories', 'Science fiction'}	Jack+Sharkey	Awakening	https://www.worldcat.org/search?q=Jack+Sharkey+Awakening&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG32670	The Time Mirror	South, Clark		1915.0	1992.0	2014.0	1964	['en']		11	{'Time travel -- Fiction', 'Science fiction'}	Clark+South	Time+Mirror	https://www.worldcat.org/search?q=Clark+South+Time+Mirror&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG63708	Total Recall	Sternig, Larry		1908.0	1999.0		1964	['en']		12	{'Ganymede (Satellite) -- Fiction', 'Short stories', 'Science fiction', 'Memory -- Fiction', 'Scientists -- Fiction', 'War stories'}	Larry+Sternig	Total+Recall	https://www.worldcat.org/search?q=Larry+Sternig+Total+Recall&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	1	0	0	0	1	0	0	0	0
PG63657	Venusian Invader	Sternig, Larry		1908.0	1999.0		1964	['en']		6	{'Pirates -- Fiction', 'Callisto (Satellite) -- Fiction', 'Short stories', 'Science fiction', 'Space colonies -- Fiction', 'Adventure stories'}	Larry+Sternig	Venusian+Invader	https://www.worldcat.org/search?q=Larry+Sternig+Venusian+Invader&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG63757	Breath of Beelzebub	Sternig, Larry		1908.0	1999.0		1964	['en']		12	{'Short stories', 'Science fiction'}	Larry+Sternig	Breath+Beelzebub	https://www.worldcat.org/search?q=Larry+Sternig+Breath+Beelzebub&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG32591	Henry Horn's X-Ray Eye Glasses	Swain, Dwight V.		1915.0	1992.0	1871.0	1964	['en']		78	{'Inventions -- Fiction', 'World War, 1939-1945 -- Fiction', 'Spy stories', 'Short stories', 'Science fiction'}	Dwight+Swain	Henry+Horn	https://www.worldcat.org/search?q=Dwight+Swain+Henry+Horn&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG65395	You Can't Buy Eternity!	Swain, Dwight V.		1915.0	1992.0	1894.0	1964	['en']		33	{'Adventure stories', 'Science fiction'}	Dwight+Swain	Eternity	https://www.worldcat.org/search?q=Dwight+Swain+Eternity&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG65885	Dark Destiny	Swain, Dwight V.		1915.0	1992.0	2016.0	1964	['en']		68	{'Adventure stories', 'Science fiction'}	Dwight+Swain	Dark+Destiny	https://www.worldcat.org/search?q=Dwight+Swain+Dark+Destiny&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
PG65417	Cry Chaos!	Swain, Dwight V.		1915.0	1992.0	2014.0	1964	['en']		35	{'Adventure stories', 'Science fiction'}	Dwight+Swain	Chaos	https://www.worldcat.org/search?q=Dwight+Swain+Chaos&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	0	1	0	0	0	0
