,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
PG10068,5.451878794113362,7.02789668304727,7.284707389402804,86.55741967051168,9.688671058736029,32.87260638213201,9.026805252988638,2.6961335995643494,3.663901475092721,4.219270332272626,1.215718197291497,17.170266836086405,5509.0,0.09953378228372678,0.47522236340533675,399105,114996,94591,9415,5509,1,14853,6670,16847,2506,1058,207,1318,290,650,117,393,129
PG10076,3.7433864211750674,5.185600565123032,6.672414451820774,92.7856355582984,8.077975458944385,28.96530380707908,8.147571107584529,2.09267278711242,3.2291336907959756,4.1869763468954515,1.182655227424035,13.789883942490906,5773.0,0.07265510181009685,0.38922570587216354,333321,94150,79609,5784,5773,1,12081,5099,12832,2834,1175,62,1261,365,426,162,538,206
PG10082,6.308716486963473,7.86423786275369,7.665840457588743,82.6394940237713,11.019052268157248,35.41307398467573,10.102143369465336,3.13013013013013,3.57500169796783,4.264213319807621,1.2470404956207486,18.419586252919586,5994.0,0.07081072758067876,0.43960627293960625,470799,137682,110407,7818,5994,1,18762,10078,18609,4052,1405,280,1554,451,1386,156,447,171
PG10094,6.41998449502524,8.009954300719766,7.144765152035021,84.14885134368478,10.547458356078042,34.95254619989833,9.273226074725459,3.0040865384615385,3.5860374686310594,4.157643816909308,1.2136586436462067,19.714903846153845,4160.0,0.09064306094081498,0.4016826923076923,340985,99537,82014,7434,4160,1,12497,5457,13547,2853,1193,221,1195,305,614,54,300,95
PG10101,10.290780306147493,13.114305081695882,7.187625234521818,75.99140684444993,14.14736503645732,42.29613873264363,9.547557928005894,3.5569422776911077,3.996794469254315,4.073518208136523,1.1780943674132764,30.71606864274571,1282.0,0.10752196658032404,0.23712948517940718,160407,46391,39378,4234,1282,1,4560,1832,6168,1083,383,120,291,180,120,55,61,28
PG10109,3.497160006433596,4.070674641550152,6.066219026806163,91.4120406118814,7.490842437282758,26.457070562215975,7.916684774702277,1.7355175688509021,3.1106232462735948,4.13734701934465,1.2200355309909199,12.027540360873694,4212.0,0.1041255428345835,0.46676163342830007,209598,61807,50660,5275,4212,1,7310,3394,8066,1871,903,188,1277,178,342,61,189,83
PG10110,3.907761899278892,4.769006951754427,6.230679903200656,91.3081941153954,8.897004166423798,30.1432190434941,8.935362049834946,2.25052152474872,4.848641232948904,4.116345765637834,1.2021328432805691,13.622036791200456,5273.0,0.11759874145540102,0.5057841835767115,295673,86348,71829,8447,5273,1,11867,6192,18983,2399,1049,189,1044,347,605,122,376,98
PG10124,5.235694734856949,6.415969675441904,7.405924511272563,85.03188829514538,9.637516982265206,31.490772816657447,9.330650744586205,2.4782608695652173,3.6805805426268594,4.272652968554887,1.254467022363492,15.443548387096774,2852.0,0.1363378363037802,0.5603085553997195,188189,55253,44045,6005,2852,1,7068,3810,8130,1413,520,117,533,174,326,48,245,57
PG1013,5.358656762427007,6.385865233140418,6.893033615670554,85.8193253229556,10.192558702821902,32.975584341456596,9.687519647985289,2.718358038768529,4.710022707876475,4.166785003271659,1.2339166631861782,16.380615735461802,4385.0,0.11097189157582592,0.29304446978335236,299296,88631,71829,7971,4385,1,11920,6537,17730,2173,909,312,1572,355,725,82,272,82
PG1014,5.788159524127082,7.601555814562218,7.22598727252975,86.74219890662725,9.88721309662905,33.27198380454896,8.833941141316792,2.727895392278954,3.8189757155985284,4.1863551276908675,1.1960489370236662,18.627646326276462,1606.0,0.1588447653429603,0.3655043586550436,125239,35781,29916,4752,1606,1,4381,1822,5485,766,366,88,434,128,131,47,101,55
